Remitente,Fecha,Origen,Destino,Receptor,LatOrigen,LongOrigen,LatDestino,LongDestino,IDCarta
ORBEA Antonio Ventura de,29-09-1830,Eibar,irún ,ZAVALA Manuel José de,43.1849300,-2.4715800,43.339243,-1.80051416897839,511
ALCIBAR Miguel María de,17-12-1846,Pamplona,Tolosa,SALAZAR Escolástica de,42.81687,-1.64323,43.1386097,-2.0723558,1535
ALCIBAR Miguel María de ; ZAVALA Manuel José de ,06-12-1833,San Sebastián,Tolosa,SALAZAR Escolástica de,43.31283,-1.97499,43.1386097,-2.0723558,1312
ALTUNA Ascensio Ignacio de ,28-02-1845,Azpeitia,Tolosa,SALAZAR Escolástica de,43.1824600,-2.2669300,43.1386097,-2.0723558,2466
CENDOYA Gaspar Ignacio de,19-04-1845,San Sebastián,Azpeitia,ALTUNA Ascensio Ignacio de,43.31283,-1.97499,43.1824600,-2.2669300,7249
ALTUNA Ascensio Ignacio de,18-03-1831,Irún,Tolosa,SALAZAR Escolástica de,43.3383, -1.78921,43.1386097,-2.0723558,2294
OLADE Joaquín de,31-01-1840,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4035
OLALDE Juan Manuel de,20-06-1811,Vitoria,Tolosa,GALARRAGA Martín de,42.8591338,-2.6818614,43.1386097,-2.0723558,6756
SALAZAR DE URBINA María Manuela,10-03-1833,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4570
SALAZAR DE URBINA María Manuela,14-04-1833,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4573
SALAZAR DE URBINA María Manuela,15-6-AAAA,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4575
SALAZAR DE URBINA María Manuela,24-04-1832,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4682
SALAZAR DE URBINA María Manuela,05-08-AAAA,Vitoria,Tolosa,SALAZAR Escolástica de,42.8591338,-2.6818614,43.1386097,-2.0723558,4577
SALAZAR DE URBINA María Manuela,10-01-1840,Bayona,Tolosa,SALAZAR Escolástica de,43.4925,-1.4763888888889,43.1386097,-2.0723558,4559
